SYMBOL,INTERVAL NO. 1,INTERVAL NO. 2,INTERVAL NO. 3,INTERVAL NO. 4,INTERVAL NO. 5,INTERVAL NO. 6,INTERVAL NO. 7,INTERVAL NO. 8,INTERVAL NO. 9,INTERVAL NO. 10,MAX FREQ.
GANGESSECU,"(66.0, 68.7, 22)","(68.7, 71.4, 55)","(71.4, 74.1, 129)","(74.1, 76.8, 65)","(76.8, 79.5, 74)","(79.5, 82.2, 163)","(82.2, 84.9, 47)","(84.9, 87.6, 30)","(87.6, 90.3, 54)","(90.3, 93.0, 9)","(79.5, 82.2, 9)"
GANGOTRI,"(0.0, 0.1, 3)","(0.1, 0.2, 2)","(0.2, 0.3, 0)","(0.3, 0.4, 0)","(0.4, 0.5, 0)","(0.5, 0.6, 0)","(0.6, 0.7, 0)","(0.7, 0.8, 0)","(0.8, 0.9, 0)","(0.9, 1.0, 0)","(0.0, 0.1, 0)"
GARDENSILK,"(30.0, 31.0, 9)","(31.0, 32.0, 65)","(32.0, 33.0, 264)","(33.0, 34.0, 402)","(34.0, 35.0, 544)","(35.0, 36.0, 612)","(36.0, 37.0, 356)","(37.0, 38.0, 138)","(38.0, 39.0, 70)","(39.0, 40.0, 1)","(35.0, 36.0, 1)"
GARWALLROP,"(902.0, 912.7, 87)","(912.7, 923.4, 440)","(923.4, 934.1, 896)","(934.1, 944.8, 420)","(944.8, 955.5, 121)","(955.5, 966.2, 27)","(966.2, 976.9, 107)","(976.9, 987.6, 609)","(987.6, 998.3, 164)","(998.3, 1009.0, 2)","(923.4, 934.1, 2)"
GATI,"(87.0, 92.0, 76)","(92.0, 97.0, 145)","(97.0, 102.0, 1618)","(102.0, 107.0, 561)","(107.0, 112.0, 351)","(112.0, 117.0, 679)","(117.0, 122.0, 228)","(122.0, 127.0, 41)","(127.0, 132.0, 43)","(132.0, 137.0, 10)","(97.0, 102.0, 10)"
GAYAPROJ,"(180.0, 184.1, 112)","(184.1, 188.2, 173)","(188.2, 192.3, 96)","(192.3, 196.4, 171)","(196.4, 200.5, 718)","(200.5, 204.6, 1144)","(204.6, 208.7, 565)","(208.7, 212.8, 388)","(212.8, 216.9, 81)","(216.9, 221.0, 5)","(200.5, 204.6, 5)"
GDL,"(161.0, 166.4, 295)","(166.4, 171.8, 377)","(171.8, 177.2, 571)","(177.2, 182.6, 670)","(182.6, 188.0, 569)","(188.0, 193.4, 246)","(193.4, 198.8, 56)","(198.8, 204.2, 195)","(204.2, 209.6, 452)","(209.6, 215.0, 145)","(177.2, 182.6, 145)"
GEECEE,"(123.0, 128.8, 214)","(128.8, 134.6, 111)","(134.6, 140.4, 886)","(140.4, 146.2, 278)","(146.2, 152.0, 200)","(152.0, 157.8, 219)","(157.8, 163.6, 58)","(163.6, 169.4, 141)","(169.4, 175.2, 14)","(175.2, 181.0, 3)","(134.6, 140.4, 3)"
GEMINI,"(0.0, 0.2, 0)","(0.2, 0.4, 0)","(0.4, 0.6, 0)","(0.6, 0.8, 0)","(0.8, 1.0, 58)","(1.0, 1.2, 106)","(1.2, 1.4, 79)","(1.4, 1.6, 23)","(1.6, 1.8, 0)","(1.8, 2.0, 0)","(1.0, 1.2, 0)"
GENESYS,"(242.0, 249.0, 89)","(249.0, 256.0, 446)","(256.0, 263.0, 397)","(263.0, 270.0, 477)","(270.0, 277.0, 540)","(277.0, 284.0, 363)","(284.0, 291.0, 302)","(291.0, 298.0, 219)","(298.0, 305.0, 150)","(305.0, 312.0, 120)","(270.0, 277.0, 120)"
GENUSPAPER,"(10.0, 10.5, 0)","(10.5, 11.0, 29)","(11.0, 11.5, 142)","(11.5, 12.0, 192)","(12.0, 12.5, 699)","(12.5, 13.0, 1012)","(13.0, 13.5, 645)","(13.5, 14.0, 155)","(14.0, 14.5, 166)","(14.5, 15.0, 63)","(12.5, 13.0, 63)"
GENUSPOWER,"(46.0, 47.8, 168)","(47.8, 49.6, 323)","(49.6, 51.4, 296)","(51.4, 53.2, 805)","(53.2, 55.0, 820)","(55.0, 56.8, 398)","(56.8, 58.6, 400)","(58.6, 60.4, 337)","(60.4, 62.2, 41)","(62.2, 64.0, 136)","(53.2, 55.0, 136)"
GEOJITFSL,"(88.0, 90.4, 38)","(90.4, 92.8, 242)","(92.8, 95.2, 652)","(95.2, 97.6, 576)","(97.6, 100.0, 385)","(100.0, 102.4, 903)","(102.4, 104.8, 292)","(104.8, 107.2, 392)","(107.2, 109.6, 64)","(109.6, 112.0, 26)","(100.0, 102.4, 26)"
GEPIL,"(787.0, 805.8, 66)","(805.8, 824.6, 312)","(824.6, 843.4, 615)","(843.4, 862.2, 740)","(862.2, 881.0, 486)","(881.0, 899.8, 375)","(899.8, 918.6, 158)","(918.6, 937.4, 170)","(937.4, 956.2, 148)","(956.2, 975.0, 62)","(843.4, 862.2, 62)"
GESHIP,"(326.0, 332.5, 400)","(332.5, 339.0, 311)","(339.0, 345.5, 746)","(345.5, 352.0, 516)","(352.0, 358.5, 494)","(358.5, 365.0, 518)","(365.0, 371.5, 309)","(371.5, 378.0, 155)","(378.0, 384.5, 93)","(384.5, 391.0, 3)","(339.0, 345.5, 3)"
GHCL,"(256.0, 260.4, 57)","(260.4, 264.8, 108)","(264.8, 269.2, 471)","(269.2, 273.6, 607)","(273.6, 278.0, 781)","(278.0, 282.4, 556)","(282.4, 286.8, 583)","(286.8, 291.2, 378)","(291.2, 295.6, 185)","(295.6, 300.0, 21)","(273.6, 278.0, 21)"
GICHSGFIN,"(344.0, 353.2, 128)","(353.2, 362.4, 20)","(362.4, 371.6, 189)","(371.6, 380.8, 516)","(380.8, 390.0, 369)","(390.0, 399.2, 617)","(399.2, 408.4, 792)","(408.4, 417.6, 417)","(417.6, 426.8, 428)","(426.8, 436.0, 253)","(399.2, 408.4, 253)"
GICRE,"(673.0, 681.1, 81)","(681.1, 689.2, 12)","(689.2, 697.3, 266)","(697.3, 705.4, 967)","(705.4, 713.5, 645)","(713.5, 721.6, 349)","(721.6, 729.7, 567)","(729.7, 737.8, 603)","(737.8, 745.9, 190)","(745.9, 754.0, 70)","(697.3, 705.4, 70)"
GILLANDERS,"(61.0, 62.5, 24)","(62.5, 64.0, 30)","(64.0, 65.5, 34)","(65.5, 67.0, 94)","(67.0, 68.5, 135)","(68.5, 70.0, 141)","(70.0, 71.5, 157)","(71.5, 73.0, 42)","(73.0, 74.5, 34)","(74.5, 76.0, 13)","(70.0, 71.5, 13)"
