SYMBOL,INTERVAL NO. 1,INTERVAL NO. 2,INTERVAL NO. 3,INTERVAL NO. 4,INTERVAL NO. 5,INTERVAL NO. 6,INTERVAL NO. 7,INTERVAL NO. 8,INTERVAL NO. 9,INTERVAL NO. 10,MAX FREQ.
SANOFI,"(4770.0, 4827.4, 23)","(4827.4, 4884.8, 377)","(4884.8, 4942.2, 511)","(4942.2, 4999.6, 257)","(4999.6, 5057.0, 589)","(5057.0, 5114.4, 776)","(5114.4, 5171.8, 357)","(5171.8, 5229.2, 121)","(5229.2, 5286.6, 48)","(5286.6, 5344.0, 0)","(5057.0, 5114.4, 776)"
SCHAEFFLER,"(5144.0, 5206.9, 146)","(5206.9, 5269.8, 229)","(5269.8, 5332.7, 1125)","(5332.7, 5395.6, 617)","(5395.6, 5458.5, 492)","(5458.5, 5521.4, 51)","(5521.4, 5584.3, 8)","(5584.3, 5647.2, 1)","(5647.2, 5710.1, 3)","(5710.1, 5773.0, 1)","(5269.8, 5332.7, 1125)"
SIS,"(1050.0, 1084.8, 402)","(1084.8, 1119.6, 1015)","(1119.6, 1154.4, 552)","(1154.4, 1189.2, 133)","(1189.2, 1224.0, 99)","(1224.0, 1258.8, 98)","(1258.8, 1293.6, 176)","(1293.6, 1328.4, 264)","(1328.4, 1363.2, 200)","(1363.2, 1398.0, 28)","(1084.8, 1119.6, 1015)"
SHANKARA,"(1673.0, 1714.7, 302)","(1714.7, 1756.4, 700)","(1756.4, 1798.1, 349)","(1798.1, 1839.8, 1210)","(1839.8, 1881.5, 128)","(1881.5, 1923.2, 389)","(1923.2, 1964.9, 434)","(1964.9, 2006.6, 136)","(2006.6, 2048.3, 38)","(2048.3, 2090.0, 13)","(1798.1, 1839.8, 1210)"
SFL,"(1330.0, 1359.0, 41)","(1359.0, 1388.0, 67)","(1388.0, 1417.0, 32)","(1417.0, 1446.0, 92)","(1446.0, 1475.0, 228)","(1475.0, 1504.0, 435)","(1504.0, 1533.0, 252)","(1533.0, 1562.0, 337)","(1562.0, 1591.0, 110)","(1591.0, 1620.0, 14)","(1475.0, 1504.0, 435)"
SCI,"(62.0, 63.6, 45)","(63.6, 65.2, 565)","(65.2, 66.8, 546)","(66.8, 68.4, 618)","(68.4, 70.0, 934)","(70.0, 71.6, 370)","(71.6, 73.2, 162)","(73.2, 74.8, 372)","(74.8, 76.4, 83)","(76.4, 78.0, 6)","(68.4, 70.0, 934)"
SHOPERSTOP,"(507.0, 515.8, 85)","(515.8, 524.6, 302)","(524.6, 533.4, 189)","(533.4, 542.2, 507)","(542.2, 551.0, 430)","(551.0, 559.8, 378)","(559.8, 568.6, 706)","(568.6, 577.4, 499)","(577.4, 586.2, 177)","(586.2, 595.0, 152)","(559.8, 568.6, 706)"
SHREECEM,"(15940.0, 16105.1, 238)","(16105.1, 16270.2, 649)","(16270.2, 16435.3, 425)","(16435.3, 16600.4, 513)","(16600.4, 16765.5, 226)","(16765.5, 16930.6, 443)","(16930.6, 17095.7, 656)","(17095.7, 17260.8, 352)","(17260.8, 17425.9, 181)","(17425.9, 17591.0, 17)","(16930.6, 17095.7, 656)"
RENUKA,"(14.0, 14.3, 0)","(14.3, 14.6, 0)","(14.6, 14.9, 4)","(14.9, 15.2, 31)","(15.2, 15.5, 1409)","(15.5, 15.8, 2186)","(15.8, 16.1, 50)","(16.1, 16.4, 1)","(16.4, 16.7, 0)","(16.7, 17.0, 0)","(15.5, 15.8, 2186)"
SHRIRAMCIT,"(1945.0, 1995.8, 148)","(1995.8, 2046.6, 312)","(2046.6, 2097.4, 124)","(2097.4, 2148.2, 317)","(2148.2, 2199.0, 344)","(2199.0, 2249.8, 312)","(2249.8, 2300.6, 360)","(2300.6, 2351.4, 298)","(2351.4, 2402.2, 522)","(2402.2, 2453.0, 69)","(2351.4, 2402.2, 522)"
SRTRANSFIN,"(1311.0, 1346.8, 116)","(1346.8, 1382.6, 349)","(1382.6, 1418.4, 480)","(1418.4, 1454.2, 293)","(1454.2, 1490.0, 538)","(1490.0, 1525.8, 167)","(1525.8, 1561.6, 313)","(1561.6, 1597.4, 940)","(1597.4, 1633.2, 380)","(1633.2, 1669.0, 136)","(1561.6, 1597.4, 940)"
SIEMENS,"(1016.0, 1030.1, 125)","(1030.1, 1044.2, 358)","(1044.2, 1058.3, 237)","(1058.3, 1072.4, 212)","(1072.4, 1086.5, 479)","(1086.5, 1100.6, 849)","(1100.6, 1114.7, 602)","(1114.7, 1128.8, 603)","(1128.8, 1142.9, 185)","(1142.9, 1157.0, 60)","(1086.5, 1100.6, 849)"
SPTL,"(48.0, 49.9, 216)","(49.9, 51.8, 387)","(51.8, 53.7, 186)","(53.7, 55.6, 222)","(55.6, 57.5, 240)","(57.5, 59.4, 508)","(59.4, 61.3, 794)","(61.3, 63.2, 732)","(63.2, 65.1, 401)","(65.1, 67.0, 22)","(59.4, 61.3, 794)"
SOBHA,"(460.0, 470.6, 100)","(470.6, 481.2, 87)","(481.2, 491.8, 148)","(491.8, 502.4, 75)","(502.4, 513.0, 416)","(513.0, 523.6, 68)","(523.6, 534.2, 811)","(534.2, 544.8, 562)","(544.8, 555.4, 1393)","(555.4, 566.0, 41)","(544.8, 555.4, 1393)"
SOLARINDS,"(980.0, 998.2, 274)","(998.2, 1016.4, 509)","(1016.4, 1034.6, 232)","(1034.6, 1052.8, 379)","(1052.8, 1071.0, 904)","(1071.0, 1089.2, 273)","(1089.2, 1107.4, 69)","(1107.4, 1125.6, 81)","(1125.6, 1143.8, 6)","(1143.8, 1162.0, 2)","(1052.8, 1071.0, 904)"
SONATSOFTW,"(289.0, 298.8, 67)","(298.8, 308.6, 104)","(308.6, 318.4, 881)","(318.4, 328.2, 580)","(328.2, 338.0, 607)","(338.0, 347.8, 351)","(347.8, 357.6, 348)","(357.6, 367.4, 626)","(367.4, 377.2, 81)","(377.2, 387.0, 60)","(308.6, 318.4, 881)"
SOUTHBANK,"(22.0, 22.6, 32)","(22.6, 23.2, 148)","(23.2, 23.8, 273)","(23.8, 24.4, 402)","(24.4, 25.0, 369)","(25.0, 25.6, 662)","(25.6, 26.2, 1073)","(26.2, 26.8, 630)","(26.8, 27.4, 119)","(27.4, 28.0, 1)","(25.6, 26.2, 1073)"
STARCEMENT,"(111.0, 113.6, 191)","(113.6, 116.2, 260)","(116.2, 118.8, 353)","(118.8, 121.4, 325)","(121.4, 124.0, 162)","(124.0, 126.6, 369)","(126.6, 129.2, 550)","(129.2, 131.8, 821)","(131.8, 134.4, 178)","(134.4, 137.0, 44)","(129.2, 131.8, 821)"
SBIN,"(233.0, 236.3, 113)","(236.3, 239.6, 123)","(239.6, 242.9, 417)","(242.9, 246.2, 406)","(246.2, 249.5, 904)","(249.5, 252.8, 644)","(252.8, 256.1, 586)","(256.1, 259.4, 257)","(259.4, 262.7, 214)","(262.7, 266.0, 54)","(246.2, 249.5, 904)"
SAIL,"(67.0, 68.5, 57)","(68.5, 70.0, 138)","(70.0, 71.5, 170)","(71.5, 73.0, 543)","(73.0, 74.5, 869)","(74.5, 76.0, 709)","(76.0, 77.5, 626)","(77.5, 79.0, 374)","(79.0, 80.5, 197)","(80.5, 82.0, 30)","(73.0, 74.5, 869)"
STRTECH,"(310.0, 315.5, 246)","(315.5, 321.0, 478)","(321.0, 326.5, 646)","(326.5, 332.0, 468)","(332.0, 337.5, 445)","(337.5, 343.0, 725)","(343.0, 348.5, 228)","(348.5, 354.0, 329)","(354.0, 359.5, 96)","(359.5, 365.0, 48)","(337.5, 343.0, 725)"
SUDARSCHEM,"(409.0, 431.5, 930)","(431.5, 454.0, 424)","(454.0, 476.5, 294)","(476.5, 499.0, 184)","(499.0, 521.5, 237)","(521.5, 544.0, 276)","(544.0, 566.5, 49)","(566.5, 589.0, 939)","(589.0, 611.5, 157)","(611.5, 634.0, 8)","(566.5, 589.0, 939)"
SPARC,"(373.0, 379.5, 80)","(379.5, 386.0, 384)","(386.0, 392.5, 313)","(392.5, 399.0, 444)","(399.0, 405.5, 311)","(405.5, 412.0, 701)","(412.0, 418.5, 804)","(418.5, 425.0, 495)","(425.0, 431.5, 117)","(431.5, 438.0, 51)","(412.0, 418.5, 804)"
