SYMBOL,INTERVAL NO. 1,INTERVAL NO. 2,INTERVAL NO. 3,INTERVAL NO. 4,INTERVAL NO. 5,INTERVAL NO. 6,INTERVAL NO. 7,INTERVAL NO. 8,INTERVAL NO. 9,INTERVAL NO. 10,MAX FREQ.
THOMASCOOK,"(251.0, 255.9, 98)","(255.9, 260.8, 301)","(260.8, 265.7, 166)","(265.7, 270.6, 414)","(270.6, 275.5, 629)","(275.5, 280.4, 1143)","(280.4, 285.3, 532)","(285.3, 290.2, 218)","(290.2, 295.1, 199)","(295.1, 300.0, 0)","(275.5, 280.4, 1143)"
THYROCARE,"(574.0, 587.2, 256)","(587.2, 600.4, 851)","(600.4, 613.6, 590)","(613.6, 626.8, 428)","(626.8, 640.0, 376)","(640.0, 653.2, 341)","(653.2, 666.4, 148)","(666.4, 679.6, 300)","(679.6, 692.8, 209)","(692.8, 706.0, 1)","(587.2, 600.4, 851)"
TIMETECHNO,"(122.0, 128.2, 38)","(128.2, 134.4, 59)","(134.4, 140.6, 37)","(140.6, 146.8, 196)","(146.8, 153.0, 254)","(153.0, 159.2, 375)","(159.2, 165.4, 1035)","(165.4, 171.6, 518)","(171.6, 177.8, 744)","(177.8, 184.0, 310)","(159.2, 165.4, 1035)"
TIMKEN,"(664.0, 675.9, 98)","(675.9, 687.8, 306)","(687.8, 699.7, 622)","(699.7, 711.6, 759)","(711.6, 723.5, 243)","(723.5, 735.4, 318)","(735.4, 747.3, 305)","(747.3, 759.2, 269)","(759.2, 771.1, 84)","(771.1, 783.0, 39)","(699.7, 711.6, 759)"
TITAN,"(803.0, 822.7, 240)","(822.7, 842.4, 158)","(842.4, 862.1, 111)","(862.1, 881.8, 364)","(881.8, 901.5, 179)","(901.5, 921.2, 212)","(921.2, 940.9, 393)","(940.9, 960.6, 596)","(960.6, 980.3, 993)","(980.3, 1000.0, 466)","(960.6, 980.3, 993)"
TORNTPHARM,"(1223.0, 1245.5, 157)","(1245.5, 1268.0, 453)","(1268.0, 1290.5, 307)","(1290.5, 1313.0, 444)","(1313.0, 1335.5, 570)","(1335.5, 1358.0, 343)","(1358.0, 1380.5, 654)","(1380.5, 1403.0, 391)","(1403.0, 1425.5, 349)","(1425.5, 1448.0, 28)","(1358.0, 1380.5, 654)"
TORNTPOWER,"(216.0, 221.1, 35)","(221.1, 226.2, 134)","(226.2, 231.3, 250)","(231.3, 236.4, 601)","(236.4, 241.5, 749)","(241.5, 246.6, 940)","(246.6, 251.7, 387)","(251.7, 256.8, 482)","(256.8, 261.9, 74)","(261.9, 267.0, 56)","(241.5, 246.6, 940)"
TRENT,"(310.0, 316.7, 138)","(316.7, 323.4, 51)","(323.4, 330.1, 158)","(330.1, 336.8, 288)","(336.8, 343.5, 933)","(343.5, 350.2, 989)","(350.2, 356.9, 856)","(356.9, 363.6, 56)","(363.6, 370.3, 153)","(370.3, 377.0, 3)","(343.5, 350.2, 989)"
TRIDENT,"(59.0, 60.6, 195)","(60.6, 62.2, 354)","(62.2, 63.8, 285)","(63.8, 65.4, 153)","(65.4, 67.0, 441)","(67.0, 68.6, 685)","(68.6, 70.2, 607)","(70.2, 71.8, 477)","(71.8, 73.4, 370)","(73.4, 75.0, 139)","(67.0, 68.6, 685)"
UCOBANK,"(18.0, 18.8, 295)","(18.8, 19.6, 577)","(19.6, 20.4, 485)","(20.4, 21.2, 306)","(21.2, 22.0, 354)","(22.0, 22.8, 537)","(22.8, 23.6, 524)","(23.6, 24.4, 435)","(24.4, 25.2, 106)","(25.2, 26.0, 79)","(18.8, 19.6, 577)"
UFLEX,"(295.0, 303.2, 188)","(303.2, 311.4, 63)","(311.4, 319.6, 78)","(319.6, 327.8, 481)","(327.8, 336.0, 342)","(336.0, 344.2, 514)","(344.2, 352.4, 896)","(352.4, 360.6, 697)","(360.6, 368.8, 250)","(368.8, 377.0, 159)","(344.2, 352.4, 896)"
UPL,"(696.0, 703.9, 165)","(703.9, 711.8, 354)","(711.8, 719.7, 488)","(719.7, 727.6, 489)","(727.6, 735.5, 413)","(735.5, 743.4, 385)","(743.4, 751.3, 468)","(751.3, 759.2, 601)","(759.2, 767.1, 264)","(767.1, 775.0, 90)","(751.3, 759.2, 601)"
UJJIVAN,"(332.0, 341.9, 210)","(341.9, 351.8, 890)","(351.8, 361.7, 296)","(361.7, 371.6, 116)","(371.6, 381.5, 357)","(381.5, 391.4, 265)","(391.4, 401.3, 703)","(401.3, 411.2, 563)","(411.2, 421.1, 220)","(421.1, 431.0, 91)","(341.9, 351.8, 890)"
ULTRACEMCO,"(3825.0, 3866.9, 84)","(3866.9, 3908.8, 323)","(3908.8, 3950.7, 549)","(3950.7, 3992.6, 633)","(3992.6, 4034.5, 456)","(4034.5, 4076.4, 246)","(4076.4, 4118.3, 524)","(4118.3, 4160.2, 650)","(4160.2, 4202.1, 151)","(4202.1, 4244.0, 94)","(4118.3, 4160.2, 650)"
UNICHEMLAB,"(259.0, 268.5, 487)","(268.5, 278.0, 815)","(278.0, 287.5, 1065)","(287.5, 297.0, 113)","(297.0, 306.5, 93)","(306.5, 316.0, 3)","(316.0, 325.5, 29)","(325.5, 335.0, 413)","(335.0, 344.5, 405)","(344.5, 354.0, 157)","(278.0, 287.5, 1065)"
UNIONBANK,"(82.0, 84.4, 48)","(84.4, 86.8, 123)","(86.8, 89.2, 307)","(89.2, 91.6, 346)","(91.6, 94.0, 638)","(94.0, 96.4, 767)","(96.4, 98.8, 687)","(98.8, 101.2, 394)","(101.2, 103.6, 294)","(103.6, 106.0, 106)","(94.0, 96.4, 767)"
UNITECH,"(4.0, 4.4, 0)","(4.4, 4.8, 114)","(4.8, 5.2, 249)","(5.2, 5.6, 235)","(5.6, 6.0, 926)","(6.0, 6.4, 1226)","(6.4, 6.8, 675)","(6.8, 7.2, 282)","(7.2, 7.6, 0)","(7.6, 8.0, 0)","(6.0, 6.4, 1226)"
UBL,"(911.0, 942.7, 75)","(942.7, 974.4, 463)","(974.4, 1006.1, 493)","(1006.1, 1037.8, 873)","(1037.8, 1069.5, 268)","(1069.5, 1101.2, 85)","(1101.2, 1132.9, 1043)","(1132.9, 1164.6, 199)","(1164.6, 1196.3, 166)","(1196.3, 1228.0, 42)","(1101.2, 1132.9, 1043)"
MCDOWELL-N,"(2971.0, 3039.7, 245)","(3039.7, 3108.4, 556)","(3108.4, 3177.1, 400)","(3177.1, 3245.8, 559)","(3245.8, 3314.5, 235)","(3314.5, 3383.2, 338)","(3383.2, 3451.9, 294)","(3451.9, 3520.6, 624)","(3520.6, 3589.3, 362)","(3589.3, 3658.0, 98)","(3451.9, 3520.6, 624)"
VGUARD,"(218.0, 221.7, 92)","(221.7, 225.4, 277)","(225.4, 229.1, 397)","(229.1, 232.8, 521)","(232.8, 236.5, 675)","(236.5, 240.2, 1151)","(240.2, 243.9, 258)","(243.9, 247.6, 267)","(247.6, 251.3, 50)","(251.3, 255.0, 20)","(236.5, 240.2, 1151)"
VIPIND,"(289.0, 304.2, 182)","(304.2, 319.4, 589)","(319.4, 334.6, 504)","(334.6, 349.8, 297)","(349.8, 365.0, 84)","(365.0, 380.2, 145)","(380.2, 395.4, 422)","(395.4, 410.6, 748)","(410.6, 425.8, 680)","(425.8, 441.0, 58)","(395.4, 410.6, 748)"
VRLLOG,"(375.0, 382.0, 181)","(382.0, 389.0, 654)","(389.0, 396.0, 431)","(396.0, 403.0, 308)","(403.0, 410.0, 631)","(410.0, 417.0, 696)","(417.0, 424.0, 379)","(424.0, 431.0, 137)","(431.0, 438.0, 64)","(438.0, 445.0, 28)","(410.0, 417.0, 696)"
WABAG,"(454.0, 463.8, 125)","(463.8, 473.6, 109)","(473.6, 483.4, 196)","(483.4, 493.2, 499)","(493.2, 503.0, 1253)","(503.0, 512.8, 882)","(512.8, 522.6, 321)","(522.6, 532.4, 223)","(532.4, 542.2, 83)","(542.2, 552.0, 12)","(493.2, 503.0, 1253)"
VAKRANGEE,"(54.0, 78.0, 555)","(78.0, 102.0, 375)","(102.0, 126.0, 453)","(126.0, 150.0, 527)","(150.0, 174.0, 301)","(174.0, 198.0, 374)","(198.0, 222.0, 376)","(222.0, 246.0, 347)","(246.0, 270.0, 178)","(270.0, 294.0, 222)","(54.0, 78.0, 555)"
VTL,"(1172.0, 1192.9, 79)","(1192.9, 1213.8, 452)","(1213.8, 1234.7, 1032)","(1234.7, 1255.6, 1057)","(1255.6, 1276.5, 213)","(1276.5, 1297.4, 96)","(1297.4, 1318.3, 297)","(1318.3, 1339.2, 334)","(1339.2, 1360.1, 1)","(1360.1, 1381.0, 1)","(1234.7, 1255.6, 1057)"
VBL,"(595.0, 609.5, 186)","(609.5, 624.0, 495)","(624.0, 638.5, 534)","(638.5, 653.0, 1183)","(653.0, 667.5, 299)","(667.5, 682.0, 128)","(682.0, 696.5, 164)","(696.5, 711.0, 383)","(711.0, 725.5, 160)","(725.5, 740.0, 13)","(638.5, 653.0, 1183)"
VEDL,"(269.0, 274.9, 54)","(274.9, 280.8, 278)","(280.8, 286.7, 1059)","(286.7, 292.6, 918)","(292.6, 298.5, 371)","(298.5, 304.4, 76)","(304.4, 310.3, 446)","(310.3, 316.2, 219)","(316.2, 322.1, 247)","(322.1, 328.0, 50)","(280.8, 286.7, 1059)"
VIJAYABANK,"(50.0, 51.6, 94)","(51.6, 53.2, 447)","(53.2, 54.8, 527)","(54.8, 56.4, 498)","(56.4, 58.0, 675)","(58.0, 59.6, 651)","(59.6, 61.2, 452)","(61.2, 62.8, 287)","(62.8, 64.4, 63)","(64.4, 66.0, 11)","(56.4, 58.0, 675)"
VINATIORGA,"(770.0, 793.0, 366)","(793.0, 816.0, 593)","(816.0, 839.0, 20)","(839.0, 862.0, 31)","(862.0, 885.0, 93)","(885.0, 908.0, 785)","(908.0, 931.0, 698)","(931.0, 954.0, 289)","(954.0, 977.0, 194)","(977.0, 1000.0, 14)","(885.0, 908.0, 785)"
VOLTAS,"(582.0, 590.3, 70)","(590.3, 598.6, 133)","(598.6, 606.9, 140)","(606.9, 615.2, 261)","(615.2, 623.5, 555)","(623.5, 631.8, 670)","(631.8, 640.1, 1256)","(640.1, 648.4, 536)","(648.4, 656.7, 58)","(656.7, 665.0, 34)","(631.8, 640.1, 1256)"
WABCOINDIA,"(7231.0, 7342.7, 77)","(7342.7, 7454.4, 224)","(7454.4, 7566.1, 166)","(7566.1, 7677.8, 186)","(7677.8, 7789.5, 212)","(7789.5, 7901.2, 328)","(7901.2, 8012.9, 1127)","(8012.9, 8124.6, 391)","(8124.6, 8236.3, 176)","(8236.3, 8348.0, 16)","(7901.2, 8012.9, 1127)"
WELCORP,"(124.0, 129.4, 63)","(129.4, 134.8, 252)","(134.8, 140.2, 809)","(140.2, 145.6, 883)","(145.6, 151.0, 824)","(151.0, 156.4, 220)","(156.4, 161.8, 293)","(161.8, 167.2, 227)","(167.2, 172.6, 44)","(172.6, 178.0, 76)","(140.2, 145.6, 883)"
WELSPUNIND,"(51.0, 52.8, 157)","(52.8, 54.6, 72)","(54.6, 56.4, 71)","(56.4, 58.2, 657)","(58.2, 60.0, 1389)","(60.0, 61.8, 794)","(61.8, 63.6, 171)","(63.6, 65.4, 218)","(65.4, 67.2, 156)","(67.2, 69.0, 22)","(58.2, 60.0, 1389)"
WHIRLPOOL,"(1458.0, 1473.2, 16)","(1473.2, 1488.4, 81)","(1488.4, 1503.6, 256)","(1503.6, 1518.8, 176)","(1518.8, 1534.0, 552)","(1534.0, 1549.2, 598)","(1549.2, 1564.4, 574)","(1564.4, 1579.6, 604)","(1579.6, 1594.8, 578)","(1594.8, 1610.0, 178)","(1564.4, 1579.6, 604)"
WIPRO,"(266.0, 269.6, 87)","(269.6, 273.2, 548)","(273.2, 276.8, 380)","(276.8, 280.4, 236)","(280.4, 284.0, 236)","(284.0, 287.6, 736)","(287.6, 291.2, 559)","(291.2, 294.8, 556)","(294.8, 298.4, 308)","(298.4, 302.0, 65)","(284.0, 287.6, 736)"
WOCKPHARMA,"(699.0, 714.4, 259)","(714.4, 729.8, 335)","(729.8, 745.2, 577)","(745.2, 760.6, 713)","(760.6, 776.0, 784)","(776.0, 791.4, 318)","(791.4, 806.8, 224)","(806.8, 822.2, 340)","(822.2, 837.6, 122)","(837.6, 853.0, 41)","(760.6, 776.0, 784)"
YESBANK,"(285.0, 293.4, 109)","(293.4, 301.8, 160)","(301.8, 310.2, 807)","(310.2, 318.6, 1298)","(318.6, 327.0, 284)","(327.0, 335.4, 36)","(335.4, 343.8, 31)","(343.8, 352.2, 688)","(352.2, 360.6, 250)","(360.6, 369.0, 58)","(310.2, 318.6, 1298)"
ZEEL,"(553.0, 558.7, 19)","(558.7, 564.4, 149)","(564.4, 570.1, 374)","(570.1, 575.8, 969)","(575.8, 581.5, 504)","(581.5, 587.2, 465)","(587.2, 592.9, 539)","(592.9, 598.6, 515)","(598.6, 604.3, 124)","(604.3, 610.0, 55)","(570.1, 575.8, 969)"
ZEELEARN,"(33.0, 33.8, 0)","(33.8, 34.6, 101)","(34.6, 35.4, 311)","(35.4, 36.2, 775)","(36.2, 37.0, 1132)","(37.0, 37.8, 901)","(37.8, 38.6, 178)","(38.6, 39.4, 145)","(39.4, 40.2, 29)","(40.2, 41.0, 57)","(36.2, 37.0, 1132)"
ECLERX,"(1169.0, 1193.4, 109)","(1193.4, 1217.8, 429)","(1217.8, 1242.2, 303)","(1242.2, 1266.6, 417)","(1266.6, 1291.0, 315)","(1291.0, 1315.4, 139)","(1315.4, 1339.8, 903)","(1339.8, 1364.2, 511)","(1364.2, 1388.6, 182)","(1388.6, 1413.0, 68)","(1315.4, 1339.8, 903)"
