Company Name,Industry,Symbol,Series,ISIN Code
Nifty 50,LARGE CAP,NIFTY,EQ,NA
Nifty IT,TECHNOLOGY,CNXIT,EQ,NOT APPLICABLE
Nifty FMCG,consumer staples and discretionary,CNXFMCG,EQ,not applicable
Nifty private bank index,Financial services,NIFTYPVTBANK,EQ,not applicable
Nifty Pharma,pharmaceutical,CNXPHARMA,INDEX,NOT APPLICABLE
